NAME,YEAR,MONTH,DAY,MINUTE,VALUE
PPT             ,2015,10,3,765,0
PPT             ,2015,10,3,780,0
PPT             ,2015,10,3,795,0
PPT             ,2015,10,3,810,0
PPT             ,2015,10,3,825,0
PPT             ,2015,10,3,840,0
PPT             ,2015,10,3,855,0
PPT             ,2015,10,3,870,0
PPT             ,2015,10,3,885,0
PPT             ,2015,10,3,900,0
PPT             ,2015,10,3,915,0
PPT             ,2015,10,3,930,0
PPT             ,2015,10,3,945,0
PPT             ,2015,10,3,960,0
PPT             ,2015,10,3,975,0
PPT             ,2015,10,3,990,0
PPT             ,2015,10,3,1005,0
PPT             ,2015,10,3,1020,0
PPT             ,2015,10,3,1035,0
PPT             ,2015,10,3,1050,0
PPT             ,2015,10,3,1065,0
PPT             ,2015,10,3,1080,0
PPT             ,2015,10,3,1095,0
PPT             ,2015,10,3,1110,0
PPT             ,2015,10,3,1125,0
PPT             ,2015,10,3,1140,0
PPT             ,2015,10,3,1155,0
PPT             ,2015,10,3,1170,0
PPT             ,2015,10,3,1185,0
PPT             ,2015,10,3,1200,0
PPT             ,2015,10,3,1215,0
PPT             ,2015,10,3,1230,0
PPT             ,2015,10,3,1245,0
PPT             ,2015,10,3,1260,0
PPT             ,2015,10,3,1275,0
PPT             ,2015,10,3,1290,0
PPT             ,2015,10,3,1305,0
PPT             ,2015,10,3,1320,0
PPT             ,2015,10,3,1335,0
PPT             ,2015,10,3,1350,0
PPT             ,2015,10,3,1365,0
PPT             ,2015,10,3,1380,0
PPT             ,2015,10,3,1395,0
PPT             ,2015,10,3,1410,0
PPT             ,2015,10,3,1425,0
PPT             ,2015,10,4,0,0
PPT             ,2015,10,4,15,0
PPT             ,2015,10,4,30,0
PPT             ,2015,10,4,45,0
PPT             ,2015,10,4,60,0
PPT             ,2015,10,4,75,0
PPT             ,2015,10,4,90,0
PPT             ,2015,10,4,105,0
PPT             ,2015,10,4,120,0
PPT             ,2015,10,4,135,0
PPT             ,2015,10,4,150,0
PPT             ,2015,10,4,165,0
PPT             ,2015,10,4,180,0
PPT             ,2015,10,4,195,0
PPT             ,2015,10,4,210,0
PPT             ,2015,10,4,225,0
PPT             ,2015,10,4,240,0
PPT             ,2015,10,4,255,0
PPT             ,2015,10,4,270,0
PPT             ,2015,10,4,285,0
PPT             ,2015,10,4,300,0
PPT             ,2015,10,4,315,0
PPT             ,2015,10,4,330,0
PPT             ,2015,10,4,345,0
PPT             ,2015,10,4,360,0
PPT             ,2015,10,4,375,0
PPT             ,2015,10,4,390,0
PPT             ,2015,10,4,405,0
PPT             ,2015,10,4,420,0
PPT             ,2015,10,4,435,0
PPT             ,2015,10,4,450,0
PPT             ,2015,10,4,465,0
PPT             ,2015,10,4,480,0
PPT             ,2015,10,4,495,0
PPT             ,2015,10,4,510,0
PPT             ,2015,10,4,525,0
PPT             ,2015,10,4,540,0
PPT             ,2015,10,4,555,0
PPT             ,2015,10,4,570,0
PPT             ,2015,10,4,585,0
PPT             ,2015,10,4,600,0
PPT             ,2015,10,4,615,0
PPT             ,2015,10,4,630,0
PPT             ,2015,10,4,645,0
PPT             ,2015,10,4,660,0
PPT             ,2015,10,4,675,0
PPT             ,2015,10,4,690,0
PPT             ,2015,10,4,705,0
PPT             ,2015,10,4,720,0
PPT             ,2015,10,4,735,0
PPT             ,2015,10,4,750,0
PPT             ,2015,10,4,765,0
PPT             ,2015,10,4,780,0
PPT             ,2015,10,4,795,0
PPT             ,2015,10,4,810,0
PPT             ,2015,10,4,825,0
PPT             ,2015,10,4,840,0
PPT             ,2015,10,4,855,0
PPT             ,2015,10,4,870,0
PPT             ,2015,10,4,885,0
PPT             ,2015,10,4,900,0
PPT             ,2015,10,4,915,0
PPT             ,2015,10,4,930,0
PPT             ,2015,10,4,945,0
PPT             ,2015,10,4,960,0
PPT             ,2015,10,4,975,0
PPT             ,2015,10,4,990,0
PPT             ,2015,10,4,1005,0
PPT             ,2015,10,4,1020,0
PPT             ,2015,10,4,1035,0
PPT             ,2015,10,4,1050,0
PPT             ,2015,10,4,1065,0
PPT             ,2015,10,4,1080,0
PPT             ,2015,10,4,1095,0
PPT             ,2015,10,4,1110,0
PPT             ,2015,10,4,1125,0
PPT             ,2015,10,4,1140,0
PPT             ,2015,10,4,1155,0
PPT             ,2015,10,4,1170,0
PPT             ,2015,10,4,1185,0
PPT             ,2015,10,4,1200,0
PPT             ,2015,10,4,1215,0
PPT             ,2015,10,4,1230,0
PPT             ,2015,10,4,1245,0
PPT             ,2015,10,4,1260,0
PPT             ,2015,10,4,1275,0
PPT             ,2015,10,4,1290,0
PPT             ,2015,10,4,1305,0
PPT             ,2015,10,4,1320,0
PPT             ,2015,10,4,1335,0
PPT             ,2015,10,4,1350,0
PPT             ,2015,10,4,1365,0
PPT             ,2015,10,4,1380,0
PPT             ,2015,10,4,1395,0
PPT             ,2015,10,4,1410,0
PPT             ,2015,10,4,1425,0
PPT             ,2015,10,5,0,0
PPT             ,2015,10,5,15,0
PPT             ,2015,10,5,30,0
PPT             ,2015,10,5,45,0
PPT             ,2015,10,5,60,0
PPT             ,2015,10,5,75,0
PPT             ,2015,10,5,90,0
PPT             ,2015,10,5,105,0
PPT             ,2015,10,5,120,0
PPT             ,2015,10,5,135,0
PPT             ,2015,10,5,150,0
PPT             ,2015,10,5,165,0
PPT             ,2015,10,5,180,0
PPT             ,2015,10,5,195,0
PPT             ,2015,10,5,210,0
PPT             ,2015,10,5,225,0
PPT             ,2015,10,5,240,0
PPT             ,2015,10,5,255,0
PPT             ,2015,10,5,270,0
PPT             ,2015,10,5,285,0
PPT             ,2015,10,5,300,0
PPT             ,2015,10,5,315,0
PPT             ,2015,10,5,330,0
PPT             ,2015,10,5,345,0
PPT             ,2015,10,5,360,0
